GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mono-backend,com.example.mono_backend.model,User,3,47,0,0,1,15,1,12,1,12
mono-backend,com.example.mono_backend.model,Post,21,40,2,0,4,13,5,8,4,8
mono-backend,com.example.mono_backend.model,Follow,6,15,0,0,2,6,2,3,2,3
mono-backend,com.example.mono_backend.model,Like,14,15,0,0,6,6,4,3,4,3
mono-backend,com.example.mono_backend,MonoBackendApplication,5,3,0,0,2,1,1,1,1,1
mono-backend,com.example.mono_backend.config,CorsConfig,0,51,0,0,0,7,0,2,0,2
mono-backend,com.example.mono_backend.dto,PostRequest,0,17,0,0,0,7,0,5,0,5
mono-backend,com.example.mono_backend.dto,PostResponse,0,39,0,0,0,14,0,7,0,7
mono-backend,com.example.mono_backend.service,FollowService,12,50,2,2,3,14,3,4,1,4
mono-backend,com.example.mono_backend.controllers,UserController,51,189,7,11,14,43,11,13,4,11
mono-backend,com.example.mono_backend.controllers,HelloController,2,3,0,0,1,1,1,1,1,1
mono-backend,com.example.mono_backend.controllers,PostController,12,329,5,23,7,88,5,20,0,11
